datetime,sunrise,sunset,conditions,cloudcover,moonphase
2017-06-01,2017-06-01T05:09:53,2017-06-01T20:10:47,"Rain, Partially cloudy",32.7,0.25
2017-06-02,2017-06-02T05:09:27,2017-06-02T20:11:31,"Rain, Partially cloudy",25.8,0.3
2017-06-03,2017-06-03T05:09:03,2017-06-03T20:12:14,"Rain, Partially cloudy",42.5,0.35
2017-06-04,2017-06-04T05:08:41,2017-06-04T20:12:55,"Rain, Partially cloudy",38.1,0.39
2017-06-05,2017-06-05T05:08:21,2017-06-05T20:13:35,"Rain, Overcast",95.2,0.43
2017-06-06,2017-06-06T05:08:03,2017-06-06T20:14:14,"Rain, Overcast",98.1,0.46
2017-06-07,2017-06-07T05:07:48,2017-06-07T20:14:51,"Rain, Partially cloudy",54.5,0.48
2017-06-08,2017-06-08T05:07:34,2017-06-08T20:15:26,Clear,4.1,0.49
2017-06-09,2017-06-09T05:07:22,2017-06-09T20:16:00,"Rain, Partially cloudy",41.1,0.5
2017-06-10,2017-06-10T05:07:13,2017-06-10T20:16:33,Clear,2.3,0.51
2017-06-11,2017-06-11T05:07:05,2017-06-11T20:17:03,Clear,0.6,0.52
2017-06-12,2017-06-12T05:07:00,2017-06-12T20:17:32,Clear,0,0.54
2017-06-13,2017-06-13T05:06:57,2017-06-13T20:18:00,"Rain, Partially cloudy",22.3,0.57
2017-06-14,2017-06-14T05:06:55,2017-06-14T20:18:25,"Rain, Partially cloudy",23.7,0.61
2017-06-15,2017-06-15T05:06:56,2017-06-15T20:18:49,Clear,2.8,0.65
2017-06-16,2017-06-16T05:06:58,2017-06-16T20:19:11,"Rain, Partially cloudy",80.9,0.7
2017-06-17,2017-06-17T05:07:03,2017-06-17T20:19:31,"Rain, Overcast",92.6,0.76
2017-06-18,2017-06-18T05:07:10,2017-06-18T20:19:49,"Rain, Partially cloudy",89.1,0.81
2017-06-19,2017-06-19T05:07:18,2017-06-19T20:20:06,Overcast,96.2,0.86
2017-06-20,2017-06-20T05:07:29,2017-06-20T20:20:20,"Rain, Partially cloudy",54.7,0.91
2017-06-21,2017-06-21T05:07:41,2017-06-21T20:20:32,Partially cloudy,21,0.95
2017-06-22,2017-06-22T05:07:56,2017-06-22T20:20:43,Clear,12,0.99
2017-06-23,2017-06-23T05:08:12,2017-06-23T20:20:51,Partially cloudy,52.9,1
2017-06-24,2017-06-24T05:08:30,2017-06-24T20:20:57,"Rain, Partially cloudy",57.6,0
2017-06-25,2017-06-25T05:08:50,2017-06-25T20:21:02,Clear,17.4,0.01
2017-06-26,2017-06-26T05:09:12,2017-06-26T20:21:04,Clear,18.8,0.04
2017-06-27,2017-06-27T05:09:35,2017-06-27T20:21:04,"Rain, Partially cloudy",29.4,0.08
2017-06-28,2017-06-28T05:10:00,2017-06-28T20:21:03,Clear,10.1,0.12
2017-06-29,2017-06-29T05:10:27,2017-06-29T20:20:59,Clear,0.4,0.17
2017-06-30,2017-06-30T05:10:55,2017-06-30T20:20:53,"Rain, Partially cloudy",23.3,0.22
2017-07-01,2017-07-01T05:11:26,2017-07-01T20:20:44,Partially cloudy,85.7,0.27
2017-07-02,2017-07-02T05:11:57,2017-07-02T20:20:34,"Rain, Partially cloudy",40,0.32
2017-07-03,2017-07-03T05:12:30,2017-07-03T20:20:22,Clear,8.9,0.37
2017-07-04,2017-07-04T05:13:05,2017-07-04T20:20:07,Partially cloudy,26.7,0.41
2017-07-05,2017-07-05T05:13:41,2017-07-05T20:19:51,Clear,1.2,0.44
